participant,jitter,max_alpha,arrow_to,answer,trial,flip,alpha,vbl_expected,vbl_realized,missed
18,4,0.6,right,\LEFT,9,129,0.6,2443965.63538045,NaN,NaN
18,4,0.6,right,\LEFT,9,130,0.6,2443965.73039077,NaN,NaN
18,4,0.6,right,\LEFT,9,131,0.6,2443965.82540108,NaN,NaN
18,4,0.6,right,\LEFT,9,132,0.6,2443965.92041139,NaN,NaN
18,4,0.6,right,\LEFT,9,133,0.6,2443966.0154217,NaN,NaN
18,4,0.6,right,\LEFT,9,134,0.6,2443966.11043201,NaN,NaN
18,4,0.6,right,\LEFT,9,135,0.6,2443966.20544232,NaN,NaN
18,4,0.6,right,\LEFT,9,136,0.6,2443966.30045263,NaN,NaN
18,4,0.6,right,\LEFT,9,137,0.6,2443966.39546294,NaN,NaN
18,4,0.6,right,\LEFT,9,138,0.6,2443966.49047325,NaN,NaN
18,4,0.6,right,\LEFT,9,139,0.6,2443966.58548357,NaN,NaN
18,4,0.6,right,\LEFT,9,140,0.6,2443966.68049388,NaN,NaN
18,4,0.6,right,\LEFT,9,141,0.6,2443966.77550419,NaN,NaN
18,4,0.6,right,\LEFT,9,142,0.6,2443966.8705145,NaN,NaN
18,4,0.6,right,\LEFT,9,143,0.6,2443966.96552481,NaN,NaN
18,4,0.6,right,\LEFT,9,144,0.6,2443967.06053512,NaN,NaN
18,4,0.6,right,\LEFT,9,145,0.6,2443967.15554543,NaN,NaN
18,4,0.6,right,\LEFT,9,146,0.6,2443967.25055574,NaN,NaN
18,4,0.6,right,\LEFT,9,147,0.6,2443967.34556605,NaN,NaN
18,4,0.6,right,\LEFT,9,148,0.6,2443967.44057636,NaN,NaN
18,4,0.6,right,\LEFT,9,149,0.6,2443967.53558668,NaN,NaN
18,4,0.6,right,\LEFT,9,150,0.6,2443967.63059699,NaN,NaN
18,4,0.6,right,\LEFT,9,151,0.6,2443967.7256073,NaN,NaN
18,4,0.6,right,\LEFT,9,152,0.6,2443967.82061761,NaN,NaN
18,4,0.6,right,\LEFT,9,153,0.6,2443967.91562792,NaN,NaN
18,4,0.6,right,\LEFT,9,154,0.6,2443968.01063823,NaN,NaN
18,4,0.6,right,\LEFT,9,155,0.6,2443968.10564854,NaN,NaN
18,4,0.6,right,\LEFT,9,156,0.6,2443968.20065885,NaN,NaN
