participant,list,unit,rep_of_unit,object,pair,trial,name,trial_type,expt,phase,condition,gonogo,cue,answer,name_dur_max,trial_start,trial_end,exitflag,response,rt,pas,jitter,max_alpha,rep,eyes_1,eyes_2,seed,rt_robo
5,1,1,5,117,135,12,plane,12,practice,study,Not Studied,go,present,f,NaN,1134459.87680466,1134463.94914514,OK,f,3.94543305411935,,5,0,2,0,0,1466375571,0.2
5,1,1,5,122,32,13,lure,3,practice,name,CFS,go,present,NA,30,1134609.10333062,1134618.86905418,Return,NO RESPONSE,9.65383654134348,,5,1,1,0,0,1466375571,0.2
5,1,1,5,122,32,13,lure,3,practice,noise,CFS,go,present,\ENTER,4,1134863.8210916,1134867.8334099,OK,NO RESPONSE,NaN,,10,1,1,0,0,1466375571,0.2
5,1,1,5,122,32,13,lure,3,practice,noise,CFS,go,present,\ENTER,4,1134869.57444042,1134873.2665482,Return,Return,3.52781773870811,,10,1,2,0,0,1466375571,0.2
5,1,1,5,122,32,13,lure,3,practice,study,CFS,go,present,j,NaN,1134330.1115728,1134334.94434792,OK,j,4.65426002978347,2@,10,0.6,1,0,0,1466375571,0.2
5,1,1,5,122,32,13,lure,3,practice,study,CFS,go,present,j,NaN,1134467.06097119,1134470.35287076,OK,j,3.11286258371547,1!,10,0.6,2,0,0,1466375571,0.2
5,1,1,5,20,71,14,briefcase,8,practice,name,CFS,go,absent,NA,30,1134618.90624089,1134618.91904576,OK,NO RESPONSE,NaN,,2,0,1,0,0,1466375571,0.2
5,1,1,5,20,71,14,briefcase,8,practice,noise,CFS,go,absent,\ENTER,4,1134875.46041,1134875.46782181,OK,NO RESPONSE,NaN,,7,1,1,0,0,1466375571,0.2
5,1,1,5,20,71,14,briefcase,8,practice,noise,CFS,go,absent,\ENTER,4,1134877.56904947,1134879.83029939,Return,Return,2.08482178160921,,7,1,2,0,0,1466375571,0.2
5,1,1,5,20,71,14,briefcase,8,practice,study,CFS,go,absent,j,NaN,1134340.69766625,1134343.43927572,OK,j,2.62763005145825,1!,4,0.6,1,0,0,1466375571,0.2
