participant,list,rep,trial,phase,jitter,max_alpha,condition,flip,alpha,vbl_expected,vbl_realized,missed
5,1,1,1,noise,7,1,Not Studied,95,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,96,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,97,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,98,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,99,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,100,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,101,1,NaN,NaN,NaN
5,1,1,1,noise,7,1,Not Studied,102,1,NaN,NaN,NaN
5,1,2,1,noise,7,1,Not Studied,1,0,1134711.04247564,1134711.04247564,0.00612895865924656
5,1,2,1,noise,7,1,Not Studied,2,0,1134711.13748548,1134711.06248857,0.0095335952937603
5,1,2,1,noise,7,1,Not Studied,3,0,1134711.23249532,1134711.14254331,-0.000286830822005868
5,1,2,1,noise,7,1,Not Studied,4,0,1134711.32750516,1134711.24257325,-0.000272269826382399
5,1,2,1,noise,7,1,Not Studied,5,0,1134711.422515,1134711.3326242,-0.000270948046818376
5,1,2,1,noise,7,1,Not Studied,6,0,1134711.51752484,1134711.43268825,-0.000238161301240325
5,1,2,1,noise,7,1,Not Studied,7,0,1134711.61253468,1134711.52268728,-0.000322865322232246
5,1,2,1,noise,7,1,Not Studied,8,0.025,1134711.70754452,1134711.62282287,-0.000166624085977674
5,1,2,1,noise,7,1,Not Studied,9,0.05,1134711.80255436,1134711.71286627,-0.000278494087979198
5,1,2,1,noise,7,1,Not Studied,10,0.075,1134711.8975642,1134711.81293424,0.00974608235992491
5,1,2,1,noise,7,1,Not Studied,11,0.1,1134711.99257404,1134711.90298247,-0.000273664714768529
5,1,2,1,noise,7,1,Not Studied,12,0.125,1134712.08758388,1134712.00304622,0.00974185648374259
5,1,2,1,noise,7,1,Not Studied,13,0.15,1134712.18259372,1134712.09307755,-0.000290567986667156
5,1,2,1,noise,7,1,Not Studied,14,0.175,1134712.27760356,1134712.19312952,0.00973008433356881
5,1,2,1,noise,7,1,Not Studied,15,0.2,1134712.3726134,1134712.28318319,-0.000268231146037579
5,1,2,1,noise,7,1,Not Studied,16,0.225,1134712.46762324,1134712.38325176,0.00974668585695326
5,1,2,1,noise,7,1,Not Studied,17,0.25,1134712.56263308,1134712.47330603,-0.000267627649009228
5,1,2,1,noise,7,1,Not Studied,18,0.275,1134712.65764292,1134712.5733737,0.00974578037858009
5,1,2,1,noise,7,1,Not Studied,19,0.3,1134712.75265276,1134712.66339628,-0.000299321487545967
5,1,2,1,noise,7,1,Not Studied,20,0.325,1134712.8476626,1134712.76349957,0.00978139811195433
5,1,2,1,noise,7,1,Not Studied,21,0.35,1134712.94267244,1134712.85357949,-0.00024197087623179
5,1,2,1,noise,7,1,Not Studied,22,0.375,1134713.03768228,1134712.95357925,0.00967786530964077
5,1,2,1,noise,7,1,Not Studied,23,0.4,1134713.13269212,1134713.04362174,-0.000279399799183011
5,1,2,1,noise,7,1,Not Studied,24,0.425,1134713.22770196,1134713.13335062,-0.000593016622588038
5,1,2,1,noise,7,1,Not Studied,25,0.45,1134713.3227118,1134713.23374429,9.14535485208035e-05
5,1,2,1,noise,7,1,Not Studied,26,0.475,1134713.41772164,1134713.32380429,-0.000261892564594746
5,1,2,1,noise,7,1,Not Studied,27,0.5,1134713.51273148,1134713.42386985,-0.000236652093008161
5,1,2,1,noise,7,1,Not Studied,28,0.525,1134713.60774132,1134713.513906,-0.000285738380625844
5,1,2,1,noise,7,1,Not Studied,29,0.55,1134713.70275116,1134713.61394862,-0.000259592430666089
5,1,2,1,noise,7,1,Not Studied,30,0.575,1134713.797761,1134713.70399564,-0.000274871708825231
5,1,2,1,noise,7,1,Not Studied,31,0.6,1134713.89277084,1134713.8040766,-0.000221258029341698
5,1,2,1,noise,7,1,Not Studied,32,0.625,1134713.98778068,1134713.89414264,-0.000255855731666088
5,1,2,1,noise,7,1,Not Studied,33,0.65,1134714.08279052,1134713.99419703,-0.000247820513322949
5,1,2,1,noise,7,1,Not Studied,34,0.675,1134714.17780036,1134714.08424948,-0.000269438605755568
5,1,2,1,noise,7,1,Not Studied,35,0.7,1134714.2728102,1134714.18428154,-0.00027015688829124
5,1,2,1,noise,7,1,Not Studied,36,0.725,1134714.36782004,1134714.27433067,-0.000272759003564715
